Experiment,TA,Course,Hours Assigned,Eligibility Code,Marker Type,Pay Rate,Relative Cost
experiment_2_fairness_focused,A,C01,11.583,1,Assigned TA,1.0,11.583
experiment_2_fairness_focused,A,C03,38.667,1,Assigned TA,1.0,38.667
experiment_2_fairness_focused,A,C05,6.5,2,Secondary marker,1.3,8.45
experiment_2_fairness_focused,B,C01,56.75,1,Assigned TA,1.0,56.75
experiment_2_fairness_focused,C,C00,10.417,2,Secondary marker,1.3,13.542
experiment_2_fairness_focused,C,C02,46.333,1,Assigned TA,1.0,46.333
experiment_2_fairness_focused,D,C05,56.75,1,Assigned TA,1.0,56.75
experiment_2_fairness_focused,E,C04,56.75,2,Secondary marker,1.3,73.775
experiment_2_fairness_focused,F,C04,56.75,2,Secondary marker,1.3,73.775
experiment_2_fairness_focused,G,C04,56.75,2,Secondary marker,1.3,73.775
experiment_2_fairness_focused,H,C00,20.583,2,Secondary marker,1.3,26.758
experiment_2_fairness_focused,H,I1,8.667,2,Secondary marker,1.3,11.267
experiment_2_fairness_focused,H,C05,21.75,2,Secondary marker,1.3,28.275
